Tarih;Saat;Tarih/Saat;TL/MWh;USD/MWh;EUR/MWh
4.6.2024;00:00;04.06.2024 00:00;2311.1;72.59;66.87
4.6.2024;01:00;04.06.2024 01:00;2197.88;69.03;63.59
4.6.2024;02:00;04.06.2024 02:00;2000;62.81;57.87
4.6.2024;03:00;04.06.2024 03:00;1900;59.67;54.97
4.6.2024;04:00;04.06.2024 04:00;2099;65.92;60.73
4.6.2024;05:00;04.06.2024 05:00;2149.01;67.49;62.18
4.6.2024;06:00;04.06.2024 06:00;2404.96;75.53;69.58
4.6.2024;07:00;04.06.2024 07:00;2149.6;67.51;62.19
4.6.2024;08:00;04.06.2024 08:00;2149.01;67.49;62.18
4.6.2024;09:00;04.06.2024 09:00;2098.99;65.92;60.73
4.6.2024;10:00;04.06.2024 10:00;1438.99;45.19;41.63
4.6.2024;11:00;04.06.2024 11:00;999.99;31.41;28.93
4.6.2024;12:00;04.06.2024 12:00;500;15.7;14.47
4.6.2024;13:00;04.06.2024 13:00;611.12;19.19;17.68
4.6.2024;14:00;04.06.2024 14:00;1000;31.41;28.93
4.6.2024;15:00;04.06.2024 15:00;500.01;15.7;14.47
4.6.2024;16:00;04.06.2024 16:00;750.01;23.56;21.7
4.6.2024;17:00;04.06.2024 17:00;2199.67;69.09;63.64
4.6.2024;18:00;04.06.2024 18:00;2389.91;75.06;69.15
4.6.2024;19:00;04.06.2024 19:00;2425;76.16;70.16
4.6.2024;20:00;04.06.2024 20:00;2688.99;84.45;77.8
4.6.2024;21:00;04.06.2024 21:00;2620.99;82.32;75.83
4.6.2024;22:00;04.06.2024 22:00;2400;75.38;69.44
4.6.2024;23:00;04.06.2024 23:00;2299;72.21;66.52
4.7.2024;00:00;04.07.2024 00:00;2389.91;74.87;69.09
4.7.2024;01:00;04.07.2024 01:00;2243.01;70.27;64.85
4.7.2024;02:00;04.07.2024 02:00;2050;64.22;59.27
4.7.2024;03:00;04.07.2024 03:00;2147.01;67.26;62.07
4.7.2024;04:00;04.07.2024 04:00;2299.99;72.05;66.49
4.7.2024;05:00;04.07.2024 05:00;2389.9;74.87;69.09
4.7.2024;06:00;04.07.2024 06:00;2427.23;76.04;70.17
4.7.2024;07:00;04.07.2024 07:00;2000;62.65;57.82
4.7.2024;08:00;04.07.2024 08:00;499.99;15.66;14.46
4.7.2024;09:00;04.07.2024 09:00;447.35;14.01;12.93
4.7.2024;10:00;04.07.2024 10:00;250.01;7.83;7.23
4.7.2024;11:00;04.07.2024 11:00;143.12;4.48;4.14
4.7.2024;12:00;04.07.2024 12:00;100.01;3.13;2.89
4.7.2024;13:00;04.07.2024 13:00;56.29;1.76;1.63
4.7.2024;14:00;04.07.2024 14:00;51.01;1.6;1.47
4.7.2024;15:00;04.07.2024 15:00;81;2.54;2.34
4.7.2024;16:00;04.07.2024 16:00;129.98;4.07;3.76
4.7.2024;17:00;04.07.2024 17:00;750;23.5;21.68
4.7.2024;18:00;04.07.2024 18:00;1975.75;61.9;57.12
4.7.2024;19:00;04.07.2024 19:00;2349;73.59;67.91
4.7.2024;20:00;04.07.2024 20:00;2200.01;68.92;63.6
4.7.2024;21:00;04.07.2024 21:00;1826.99;57.23;52.82
4.7.2024;22:00;04.07.2024 22:00;1299.99;40.73;37.58
4.7.2024;23:00;04.07.2024 23:00;933.04;29.23;26.97
4.8.2024;00:00;04.08.2024 00:00;1999.99;62.65;57.82
4.8.2024;01:00;04.08.2024 01:00;1500;46.99;43.37
4.8.2024;02:00;04.08.2024 02:00;1199.5;37.58;34.68
4.8.2024;03:00;04.08.2024 03:00;999.99;31.33;28.91
4.8.2024;04:00;04.08.2024 04:00;1438.98;45.08;41.6
4.8.2024;05:00;04.08.2024 05:00;1438.98;45.08;41.6
4.8.2024;06:00;04.08.2024 06:00;1000.01;31.33;28.91
4.8.2024;07:00;04.08.2024 07:00;600.01;18.8;17.35
4.8.2024;08:00;04.08.2024 08:00;1438.99;45.08;41.6
4.8.2024;09:00;04.08.2024 09:00;1438.99;45.08;41.6
4.8.2024;10:00;04.08.2024 10:00;1000;31.33;28.91
4.8.2024;11:00;04.08.2024 11:00;500;15.66;14.46
4.8.2024;12:00;04.08.2024 12:00;130;4.07;3.76
4.8.2024;13:00;04.08.2024 13:00;268.79;8.42;7.77
